"id","name","season","episode","deal_outcome","deal_amount","deal_equity","asking_amount","asking_equity"
"9b7561e4-fcf9-43a0-9c40-d848dcf66213","DeskView Window Mounted Standing Desk",10,22,"deal",150000.00,20.00,150000.00,7.50
"bbcc8e66-8b08-454d-9395-e556e2c0f8bc","DoughP Cookie Dough",10,22,"no_deal",500000.00,,450000.00,10.00
"82d77631-50f6-472c-8474-d52063ad62ba","Saucemoto Dip Clip Car Sauce Holder",10,22,"no_deal",45000.00,25.00,45000.00,15.00
"1b46b986-7d6e-4bd5-a409-b0eb553877c2","BatBnB Bat Houses",10,23,"deal",100000.00,33.30,100000.00,16.00
"1b13b5fa-dd6b-447e-897f-055928fe3d0a","Fat Shack Late Night Food",10,23,"deal",250000.00,15.00,250000.00,7.50
"d524672f-1a99-48bf-b6fc-f6146f5efdaa","Quickflip Hoodie Backpack",10,23,"no_deal",500000.00,5.00,500000.00,5.00
"d9776196-1c23-47ea-a173-7bfee3223ff9","Bertello Pizza Ovens",11,15,"deal",120000.00,25.00,120000.00,10.00
"9794fe03-4b13-4d1f-a503-520b787155ed","KidsLuv Vitamin Infused Flavored Water",11,15,"no_deal",,,200000.00,8.00
"cde6db3b-0a26-4685-a32f-36e4f05dedaf","Space Traveler Kid’s Car Seat Cover",11,15,"deal",100000.00,33.30,100000.00,33.30
"19a21b05-4167-4024-b9ba-b7cfce521b30","Swimply Swimming Pool Rental",11,15,"no_deal",,,300000.00,5.00
"1de372b3-5733-4d6b-825c-952892632b2f","Bohana Popped Water Lily Seeds",11,16,"deal",200000.00,8.00,200000.00,10.00
"407f1728-148d-415c-b34d-daab05cbb886","Boho Camper Vans",11,16,"deal",150000.00,10.00,300000.00,10.00
"0526246b-8acf-48bd-9c75-3474bbf84e3e","Grouphug Solar Panels For Windows",11,16,"deal",150000.00,25.00,150000.00,10.00
"59b5dd1a-c472-4831-b354-aee4155627f6","Safety Nailer",11,16,"no_deal",100000.00,33.00,100000.00,14.00
"d8b02994-9902-48c4-b533-eb45d19df559","Critter Pricker Raccoon Deterrent",11,17,"deal_fell_through",115000.00,15.00,115000.00,15.00
"540e1ef9-c897-4013-b77b-41254ac3dde0","Goumi Kids & Baby Clothes",11,17,"deal_fell_through",1000000.00,10.00,1000000.00,80.00
"48c2e502-009e-4172-8b00-746b6899db98","Pasta by Hudson",11,17,"deal",150000.00,30.00,150000.00,10.00
"0ac63cb6-c1a5-42e4-8d5b-75624f21438a","The Frozen Farmer Ice Cream",11,17,"deal",125000.00,30.00,125000.00,20.00
"d8a4cfa5-9293-48ff-819d-163699a7ee8c","Bad Birdie Golf Shirts",11,18,"deal",300000.00,25.00,300000.00,10.00
"61d41b31-d6f5-409d-8ebf-8b98a9380fe3","Beddley Duvet Covers",11,18,"no_deal",,,150000.00,10.00
"519327a1-9d74-49e9-9fa9-13df221275bf","Muvez Footwear Slipper Shoes",11,18,"deal",200000.00,25.00,200000.00,15.00
"429212d1-3147-4512-9a54-43bf691007dc","First Saturday Lime Insect Repellent",11,19,"deal",100000.00,25.00,100000.00,10.00
"e3e6fae1-cd03-446c-84bf-2d06844357a7","Just The Cheese Snack Bars",11,19,"no_deal",,,500000.00,5.00
"3e22b592-a837-4318-ac09-0c017c80ade7","Neuro Energy Gum",11,19,"no_deal",,,750000.00,5.00
"f4c665d8-b8ff-47ba-a359-8de18313ff80","Seriously Slime",11,19,"no_deal",,,90000.00,15.00
"3e91f94f-88ff-413a-bd15-b8ab86d4f597","Fried Green Tomatoes",11,20,"deal",200000.00,30.00,200000.00,15.00
"50d25aa3-06cf-4b17-a515-4a2b1913896a","JiggAerobics Exercise",11,20,"no_deal",,,50000.00,12.00
"27443e19-4c8d-41df-a7ae-4cec098c9301","The Little Burros Wheelbarrow Tool Holder",11,20,"no_deal",250000.00,7.00,250000.00,10.00
"1d10e507-424a-4bcb-9bf8-6acb6a1b3b1f","ABii Educational Robot",11,21,"no_deal",,,300000.00,10.00
"fe480b4c-1c10-4722-a426-3fc49c911f7b","PROVEN Skincare",11,21,"no_deal",,,500000.00,5.00
"fe7c6efe-72c5-473b-8dfe-fcd240e859fe","Tanoshi Kids Computer",11,21,"deal",500000.00,20.00,500000.00,8.00
"d1d3d7a4-8431-4760-8070-6ab486688d85","UnBuckle Me Child’s Car Seat Tool",11,21,"deal",100000.00,10.00,100000.00,10.00
"3f117545-9e64-489e-9c1b-9dd045d1ddef","Lord von Schmitt Crochet Clothing",11,22,"no_deal",,,100000.00,10.00
"ec2bf4b1-37e1-42e6-a96f-2b995987810d","Potty Safe Child Proof Potty Training Toilet",11,22,"deal_fell_through",50000.00,20.00,50000.00,15.00
"3dde5e5a-4adb-4051-8571-97bb15c4c6ed","The DadWare Bondaroo",11,22,"no_deal",100000.00,20.00,100000.00,20.00
"c903e5d3-00a4-4d96-a4c9-a142e51b3e4c","Tough Apparel Machine-Washable Ties",11,22,"deal",100000.00,35.00,100000.00,15.00
"ea14e065-f3a5-47ce-86a4-57ccee86c11f","mcSquares Dry Erase Whiteboard Tiles",11,23,"deal",50000.00,11.00,300000.00,10.00
"b609dd29-a1ce-42f9-bff5-06c52304207c","Rescue Ready Window Escape Ladder",11,23,"no_deal",,,75000.00,15.00
"c68538b2-9dc0-46cb-8435-1ded7b2cc890","Salted Restaurant Delivery",11,23,"no_deal",,,500000.00,5.00
"c68be338-9be1-4cbc-a5a8-d608cf86b23a","Slate Chocolate Milk",11,23,"no_deal",,,400000.00,10.00
"e30a8d80-2872-49c9-af3a-8f79413a4228","Dreamland Baby Weighted Sleep Sack",11,24,"deal_fell_through",100000.00,22.50,100000.00,10.00
"1958d6ee-6cbd-42cc-b513-699282f20785","RollinGreens Plant Based Wings and Tots",11,24,"deal_fell_through",500000.00,20.00,500000.00,10.00
"b92f836a-24cb-4eab-b2f5-2af8b98d4070","The Mad Optimist Soap & Bath Products",11,24,"deal",60000.00,20.00,60000.00,10.00
"60d6e6f8-c50b-4675-b4d8-47887db7959b","Yellow Leaf Hammocks",11,24,"deal",1000000.00,,400000.00,7.00
"f373078c-cf5a-4797-87a2-dc71144789ca","Sleep Pod Blanket by Hug Sleep",12,3,"deal",150000.00,10.00,150000.00,10.00
"eb9aa51e-29e6-41d9-b1bd-6f85e4956263","Busy Baby Mat Placemat",12,16,"no_deal",,,250000.00,5.00
"45d046c9-f295-4688-9a30-4e583a1cb7d7","Muff Waders Beer Cooler Overalls",12,16,"no_deal",,,25000.00,25.00
"b10753b1-66b0-46ad-ba21-d52941a645f6","Pinch Me Therapy Dough",12,16,"deal",300000.00,20.00,300000.00,7.00
"88b5cd0f-6ff9-41d1-8959-c7fdd6446ee7","Simply Good Jars",12,16,"deal",500000.00,10.00,500000.00,7.00
"bd3c6149-04a0-4368-bb14-e4ff42607f70","Chill Systems Beverage Cooler",12,17,"no_deal",,,150000.00,15.00
"48c087a7-eed8-4672-952e-9d473eaae011","Misfit Foods Meats With Added Veggies",12,17,"deal_fell_through",300000.00,15.00,250000.00,5.00
"7988f5f4-bc36-4b9c-a9fb-ce993f641d23","Tandm Surf (Tandem Boogie) Body Board for Two",12,17,"deal",100000.00,35.00,100000.00,10.00
"72355657-37a2-48b5-9d4e-208baea91297","Totes Babies Car Seat Carrier",12,17,"deal",100000.00,25.00,100000.00,10.00
"c1ea8041-7693-4579-abbd-49be8d6202b4","Bunch Bikes Electric Cargo Bikes for Families",12,18,"deal",100000.00,15.00,250000.00,10.00
"2daa454f-e3f9-4e08-838c-b92b6bf6958b","Hairy Grabster Shower Hair Trap",12,18,"no_deal",,,75000.00,20.00
"18a7fa18-d2f0-4bd0-a231-8e51ea02fcc7","Mad Rabbit Tattoo Balm",12,18,"deal",500000.00,12.00,500000.00,5.00
"1b9776dc-c4f7-4326-81e7-a1e28dea1bb1","Numilk Dairy-Free Milk",12,18,"deal",2000000.00,10.00,1000000.00,5.00
"451697cc-b7b0-4dae-b73d-0d2179da11cc","DynoSafe Delivery Lockbox",12,19,"deal_fell_through",150000.00,25.00,150000.00,15.00
"f95c3022-16d3-47bb-bf5c-cc7404d96055","Phoozy Insulated Phone Cases",12,19,"deal",500000.00,8.00,500000.00,10.00
"7cbabebf-5992-4dcf-86be-432db7651b2e","Probiotic Maker",12,19,"no_deal",,,150000.00,7.00
"6bb358d7-0dce-4439-8d16-f684c188e87d","StepNpull Door Opener",12,19,"deal",300000.00,6.00,300000.00,3.00
"3d06b637-1647-4642-b9b1-8a813320e654","FurZapper Laundry Pet Hair Remover",12,20,"deal",600000.00,15.00,600000.00,15.00
"c69333fa-5d91-4fb6-a44f-28cec8fbb8d0","OpulenceMD Beauty Magnetic Eyelashes",12,20,"deal",100000.00,20.00,75000.00,5.00
"b63c81b8-05ce-40bd-a6b1-97d513c44b2f","The Cheese Chopper",12,20,"no_deal",,,75000.00,10.00
